Name,Smiles,Active_Probability,Predicted_Class,InDomain
0.7035211,COc1cc(-c2nc(-c3ccc(O)cc3O)[nH]c2-c2oc(C)cc(=O)c2O)ccc1O,0.6215,Active,In-Domain
0.9945052,COc1cc(-c2nc(-c3cn(CC(=O)[O-])c4ccccc34)[nH]c2-c2oc(C)cc(=O)c2[O-])ccc1O,0.6116,Active,Out-of-Domain
0.7646909,COc1cc([C@H]2Oc3cc(O)c4c(=O)c(O)c(-c5ccc(O)cc5)oc4c3O[C@@H]2CO)ccc1O,0.6115,Active,In-Domain
0.9858219,C=C(C)[C@H](CC=C(C)C)Cc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1O)CC2=O,0.6071,Active,In-Domain
0.5687366,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)c(O)c1O,0.6013,Active,In-Domain
0.9920691,Cc1cc(OC(=O)c2c(C)cc(OC(=O)c3c(C)cc([O-])cc3O)cc2O)cc(O)c1C(=O)[O-],0.5945,Active,In-Domain
0.94019157,CC(C)=CCC/C(C)=C/Cc1c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c2c1=O,0.592,Active,In-Domain
0.99856514,CC(C)=CCc1cc([C@H]2Oc3cc(O)cc(O)c3C(=O)[C@@H]2[O-])cc(CC=C(C)C)c1O,0.5902,Active,In-Domain
0.86332804,C/C=C(/C)c1cc([O-])c(C)c2c1Oc1cc(O)cc(C)c1C(=O)O2,0.5902,Active,In-Domain
0.46746105,O=C1C[C@H](c2cccc3cccnc23)c2c(cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc23)O1,0.5805,Active,In-Domain
0.59015787,O=C(Nc1ccc(O)c(C(=O)[O-])c1)c1cccc(C(=O)Nc2ccc(O)c(C(=O)[O-])c2)c1,0.5756,Active,In-Domain
0.055050556,O=C1C[C@H](c2ccc3ncccc3c2)c2c(cc(O)c3c(=O)cc(-c4ccc(O)c(O)c4)oc23)O1,0.5753,Active,Out-of-Domain
