Name,SMILES,MW,LogP,HBD,HBA,RotB,TPSA
NPA000124,CC[C@H](C)/C=C(C)\C=C\C1=CC2=C(Cl)C(=O)[C@@]3(C)OC4(O)C[C@H](C)OC(=O)[C@@H]4[C@H]3C2=CO1,460.9540000000002,4.453900000000004,1,6,4,82.06000000000002
NPA000125,CC1(C)[C@@H](O)CC[C@]2(C)[C@@H](CO)[C@@H](CO)CC[C@@H]12,256.38599999999997,1.8006,3,3,2,60.69
NPA000127,C[C@H]1C[C@@H](C)C(=O)[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C1,281.352,1.0414999999999999,2,4,3,83.47
NPA000128,C[C@@H]1CC(=O)C2=C(C1)C1OC1[C@]1(O)[C@H]2C(=O)c2cccc(O)c2[C@@H]1O,342.3470000000001,1.0457999999999998,3,6,0,107.36000000000001
NPA000129,O=C1C=C(CCC(=O)OCCc2ccccc2)CC1,258.31699999999995,2.841800000000001,0,3,6,43.370000000000005
NPA000130,Cc1cc(O)cc(O)c1C(=O)O[C@@]1(C)C(=O)C2=C(C=C(/C=C/CO)OC2)C[C@H]1O,402.39900000000006,1.4146199999999995,4,8,4,133.52
NPA000132,C/C(=C\C(=O)O)c1ccc(CO)c(=O)o1,210.18499999999995,0.6199999999999999,2,4,3,87.74
NPA000133,COC(=O)c1cc(O)cc(OC)c1Oc1c(Cl)c(C)cc(O)c1C(=O)OC,396.77900000000017,3.4337200000000023,2,8,5,111.52000000000001
NPA000134,COc1cc2c(c(O)c1OC)C(=O)O[C@@H]1C[C@H](C[C@@H](C)O)O[C@H]21,324.32900000000006,1.5493000000000001,2,7,4,94.45000000000002
NPA000135,NC/C=C1/O[C@H]2CC(=O)N2[C@@H]1C(=O)O,198.17799999999994,-1.1291999999999995,2,4,2,92.86
NPA000137,CN1C(=O)[C@]23C[C@]4(C)C(C)(C)C5Nc6ccccc6C5C[C@]14CN2CCC3(C)C,393.57500000000033,4.085700000000004,1,3,0,35.580000000000005
NPA000138,CC(C)(O)/C=C/c1cc(O)ccc1O,194.23,1.8819000000000012,3,3,2,60.69
NPA000140,C=C(C(=O)O)C(CCCCCC(=O)OCC)C(=O)O,272.29699999999997,1.8416,2,4,10,100.90000000000002
NPA000142,C=C(COC(C)=O)[C@@]12O[C@@H]1[C@@]1(C)C(=C[C@H]2O)C=C[C@@H](O)[C@@H]1C,306.358,1.1173,2,5,3,79.29
NPA000143,C=C=CCOc1ccc(CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc1,338.35600000000005,-0.2770000000000004,4,7,7,108.61000000000001
NPA000145,CC(=O)OCC1=CC(=O)C2(C(/C=C(C)/C=C/C=C(\C)CCC=C(C)C)OC(C)=O)OC2C1=O,456.5350000000003,3.8922000000000025,0,7,10,99.27000000000001
NPA000146,C[C@H]1CC[C@H]2[C@@H](C=C[C@@H]3COC(=O)[C@@]32C)[C@@H]1O,236.31099999999995,1.7587,1,3,0,46.53
NPA000148,NC(CCCCNC(=O)Cc1c[nH]c2ccccc12)C(=O)O,303.36199999999997,1.4087999999999996,4,3,8,108.21
NPA000149,C/C=C/C=C/CCCCCCC(=O)CNC(C)=O,251.36999999999998,3.164500000000001,1,2,10,46.17
NPA000150,COc1cc(O)c2c(c1)[C@@H](O)[C@@H]1CC[C@@H](O1)[C@H](O)/C=C\C[C@H](C)OC2=O,364.39400000000006,1.8479,3,7,1,105.45000000000002
NPA000151,CC1=C2CC[C@H](C)[C@]23CC[C@@H](C3)C1(C)C,204.35699999999994,4.5591000000000035,0,0,0,0.0
NPA000153,COc1ccc(-n2cnc3ccc(OC)cc3c2=O)c(CO)c1,312.3250000000001,1.8951999999999996,1,6,4,73.58000000000001
NPA000154,CCOC(=O)Cc1cc(O)cc2c1C(=O)C[C@@H](C[C@H](C)O)O2,308.33,1.6025,2,6,5,93.06000000000002
NPA000156,COCc1ccc(O)c(NC(C)=O)c1,195.21799999999996,1.4969999999999999,2,3,3,58.56
NPA000157,COc1cc(O)c2c(c1OC)/C=C/C[C@H](O)[C@@H](O)C(=O)CCC[C@H](C)OC2=O,394.42000000000013,1.8328000000000002,3,8,2,122.52000000000002
NPA000158,COc1cc(CO)oc(=O)c1C,170.164,0.4491199999999999,1,4,2,59.67
NPA000159,O=C1N[C@H](Cc2ccc(O)cc2)C(=O)N2CCC[C@H]12,260.29299999999995,0.4240999999999993,2,3,2,69.64
NPA000160,COc1cc(C(=O)S)nc2c(O)cccc12,235.264,2.019000000000001,2,4,2,59.42
NPA000161,CCC(C)CC(C)C1=Cc2cc3c(c(O)c2CO1)C(=O)C(=O)C(OC)=C3,356.41800000000006,4.088300000000006,1,5,5,72.83000000000001
NPA000163,C[C@H]1C/C=C\[C@H]2[C@@H]3O[C@]3(C)[C@@H](C)[C@H]3[C@H](Cc4ccccc4)NC(=O)C32[C@H](O)/C=C\[C@@](C)(O)C1=O,465.59000000000015,2.5867000000000004,3,5,2,99.16
NPA000165,C/C=C(\Cl)C1=CC(=O)[C@H](Cl)[C@@]1(O)C(=O)OC,265.092,1.1496,1,4,2,63.60000000000001
NPA000166,CC1=C2C[C@](C)(CO)C[C@@H]2C[C@@]2(C)CC[C@@]12O,236.35499999999996,2.646400000000001,2,2,1,40.46
NPA000168,CCc1ccc(CC(C)C)c(=O)o1,180.24699999999996,2.4007000000000005,0,2,3,30.21
NPA000171,COC1=CC(=O)[C@]2(C)O[C@@]23CC(C)OC13O,226.22799999999995,0.12449999999999961,1,5,1,68.29
NPA000176,CC(=O)O[C@H]1C[C@](C)(O)/C=C\C=C(\CO)[C@H]2CC(C)(C)[C@]12O,310.39000000000004,1.3248999999999997,3,5,2,86.99000000000001
NPA000177,CO[C@@]1(C)C[C@H](O)[C@@]2(C)C[C@]34[C@H](C)C=CC(=O)[C@@]3(C)CC[C@@H]4[C@H]21,318.45700000000005,3.360000000000002,1,3,1,46.53
NPA000178,Oc1cccc2c1C1(Oc3cccc4cccc(c34)O1)[C@@H]1O[C@@H]1[C@@H]2O,334.32700000000006,2.9840000000000018,2,5,0,71.45
NPA000179,COC(=O)C(CCC#CC=C(Cl)Cl)C(CCCC#CCC(Cl)Cl)NC(C)=O,455.2090000000002,4.750400000000004,1,3,9,55.400000000000006
NPA000181,Cc1cccnc1/C=C/C=C/[C@@H](O)[C@H](C)O,219.284,1.7011199999999997,2,3,4,53.35
NPA000185,O=C1C[C@H](O)[C@H]2c3ccc(O)c4c3[C@](O)(c3ccc(O)c1c32)[C@@H](O)CC4=O,368.341,0.6735999999999991,5,7,0,135.29
NPA000186,NC(=O)c1ccc2c(c1)C=CO/C(=C\Cl)O2,237.64199999999997,2.2029000000000005,1,3,1,61.55
