Predicted_score,Predicted_Activity,mol_names,SMILES
0.9788833,1,mol_65.sdf,COc1cc(I)c2oc(-c3ccc(Cl)cc3)nc2c1
0.978815,1,mol_46.sdf,COc1cccc(-c2nc3cccc(I)c3o2)c1
0.9764654,1,mol_63.sdf,COc1cc(NC(=O)c2ccc(Cl)cc2)c2oc(-c3ccc(Cl)cc3)nc2c1
0.9762847,1,mol_4.sdf,C[C@@]12CC[C@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1C[C@H](O)[C@@H]2O
0.9762847,1,mol_1.sdf,C[C@@]12CCc3c(ccc4cc(O)ccc34)[C@H]1C[C@H](O)[C@@H]2O
0.9738974,1,mol_19.sdf,COc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)CC2=O
0.95958996,1,mol_82.sdf,COc1cc(I)c2nc(-c3ccccc3)oc2c1
0.94762105,1,mol_58.sdf,COc1cc(I)c2nc(-c3ccc(Cl)cc3)oc2c1
0.94762105,1,mol_14.sdf,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c(O)c(O)c12
0.94008714,1,mol_53.sdf,COC(=O)c1cc(I)c2oc(-c3ccc(C)cc3)nc2c1
0.94008714,1,mol_80.sdf,COc1cccc(-c2nc3c(I)cc(OC)cc3o2)c1
0.93866354,1,mol_61.sdf,Cc1ccc(C(=O)Nc2cccc3nc(-c4ccc(C)cc4)oc23)cc1
